// gen_hazards --polygon=-150,-75:-150,-400:400,-400:400,-75 
//             --objects=12,hazard --objects=600,benign --exp=4

hazard = x=253,y=-148,type=benign,label=292,hr=0.17961,hazard=false
hazard = x=200,y=-243,type=benign,label=498,hr=0.43903,hazard=false
hazard = x=258,y=-211,type=benign,label=602,hr=0.41371,hazard=false
hazard = x=42,y=-182,type=benign,label=927,hr=0.83878,hazard=false
hazard = x=12,y=-218,type=benign,label=933,hr=0.24703,hazard=false
hazard = x=47,y=-119,type=benign,label=145,hr=0.00877,hazard=false
hazard = x=127,y=-139,type=benign,label=620,hr=0.00105,hazard=false
hazard = x=139,y=-265,type=benign,label=124,hr=0.66784,hazard=false
hazard = x=77,y=-136,type=benign,label=416,hr=0.44119,hazard=false
hazard = x=-121,y=-382,type=benign,label=212,hr=0.04921,hazard=false
hazard = x=-85,y=-393,type=benign,label=446,hr=0.91486,hazard=false
hazard = x=301,y=-208,type=benign,label=552,hr=0.01417,hazard=false
hazard = x=-41,y=-231,type=benign,label=272,hr=0.00397,hazard=false
hazard = x=-119,y=-222,type=benign,label=218,hr=0.13575,hazard=false
hazard = x=25,y=-160,type=benign,label=608,hr=0.00088,hazard=false
hazard = x=348,y=-158,type=benign,label=960,hr=0.66195,hazard=false
hazard = x=364,y=-314,type=benign,label=396,hr=0.32665,hazard=false
hazard = x=-72,y=-198,type=benign,label=913,hr=0.85289,hazard=false
hazard = x=-114,y=-105,type=benign,label=737,hr=0.34608,hazard=false
hazard = x=188,y=-344,type=benign,label=781,hr=0.04963,hazard=false
hazard = x=28,y=-188,type=benign,label=703,hr=0.24985,hazard=false
hazard = x=87,y=-181,type=benign,label=651,hr=0.00074,hazard=false
hazard = x=-129,y=-161,type=benign,label=100,hr=0,hazard=false
hazard = x=397,y=-318,type=benign,label=547,hr=0.59697,hazard=false
hazard = x=-106,y=-267,type=benign,label=752,hr=0.10336,hazard=false
hazard = x=49,y=-175,type=benign,label=610,hr=0.47003,hazard=false
hazard = x=167,y=-213,type=benign,label=710,hr=0.0031,hazard=false
hazard = x=70,y=-261,type=benign,label=546,hr=0.00105,hazard=false
hazard = x=217,y=-247,type=benign,label=715,hr=0.16568,hazard=false
hazard = x=257,y=-189,type=benign,label=770,hr=0.01384,hazard=false
hazard = x=241,y=-307,type=benign,label=812,hr=0.76754,hazard=false
hazard = x=-39,y=-363,type=benign,label=198,hr=0.1063,hazard=false
hazard = x=209,y=-268,type=benign,label=698,hr=0.54701,hazard=false
hazard = x=40,y=-84,type=benign,label=794,hr=0.3407,hazard=false
hazard = x=53,y=-236,type=benign,label=327,hr=0.70401,hazard=false
hazard = x=306,y=-336,type=benign,label=855,hr=0.00349,hazard=false
hazard = x=-93,y=-289,type=benign,label=331,hr=0.68274,hazard=false
hazard = x=-73,y=-184,type=benign,label=636,hr=0.10482,hazard=false
hazard = x=272,y=-188,type=benign,label=268,hr=0.27476,hazard=false
hazard = x=277,y=-110,type=benign,label=744,hr=0.02337,hazard=false
hazard = x=121,y=-209,type=benign,label=251,hr=0.14872,hazard=false
hazard = x=11,y=-228,type=benign,label=799,hr=0.00001,hazard=false
hazard = x=-123,y=-293,type=benign,label=318,hr=0.80767,hazard=false
hazard = x=258,y=-285,type=benign,label=335,hr=0.78741,hazard=false
hazard = x=244,y=-309,type=benign,label=926,hr=0.06504,hazard=false
hazard = x=394,y=-127,type=benign,label=642,hr=0.07256,hazard=false
hazard = x=-98,y=-330,type=benign,label=366,hr=0.00008,hazard=false
hazard = x=-97,y=-289,type=benign,label=991,hr=0.35889,hazard=false
hazard = x=-146,y=-217,type=benign,label=409,hr=0.00397,hazard=false
hazard = x=270,y=-361,type=benign,label=129,hr=0.00727,hazard=false
hazard = x=-134,y=-168,type=benign,label=155,hr=0.47458,hazard=false
hazard = x=59,y=-245,type=benign,label=394,hr=0,hazard=false
hazard = x=80,y=-81,type=benign,label=483,hr=0.06872,hazard=false
hazard = x=290,y=-151,type=benign,label=771,hr=0.07772,hazard=false
hazard = x=-84,y=-254,type=benign,label=235,hr=0.80767,hazard=false
hazard = x=-77,y=-326,type=benign,label=474,hr=0.05812,hazard=false
hazard = x=392,y=-278,type=benign,label=793,hr=0.96838,hazard=false
hazard = x=43,y=-383,type=benign,label=419,hr=0.00206,hazard=false
hazard = x=212,y=-289,type=benign,label=184,hr=0,hazard=false
hazard = x=329,y=-219,type=benign,label=691,hr=0.17415,hazard=false
hazard = x=-107,y=-314,type=benign,label=848,hr=0.9606,hazard=false
hazard = x=49,y=-297,type=benign,label=544,hr=0.00023,hazard=false
hazard = x=390,y=-325,type=benign,label=951,hr=0.10409,hazard=false
hazard = x=75,y=-348,type=benign,label=295,hr=0.16055,hazard=false
hazard = x=-96,y=-193,type=benign,label=108,hr=0.00048,hazard=false
hazard = x=58,y=-140,type=benign,label=429,hr=0.83528,hazard=false
hazard = x=-56,y=-360,type=benign,label=572,hr=0.09284,hazard=false
hazard = x=391,y=-303,type=benign,label=909,hr=0.13665,hazard=false
hazard = x=160,y=-296,type=benign,label=352,hr=0.00247,hazard=false
hazard = x=335,y=-102,type=benign,label=359,hr=0.41371,hazard=false
hazard = x=53,y=-304,type=benign,label=181,hr=0.35336,hazard=false
hazard = x=154,y=-108,type=benign,label=269,hr=0.00222,hazard=false
hazard = x=-121,y=-128,type=benign,label=588,hr=0.13221,hazard=false
hazard = x=174,y=-125,type=benign,label=164,hr=0.00597,hazard=false
hazard = x=391,y=-325,type=benign,label=460,hr=0.27476,hazard=false
hazard = x=74,y=-268,type=benign,label=315,hr=0.15554,hazard=false
hazard = x=-112,y=-166,type=benign,label=241,hr=0.00084,hazard=false
hazard = x=110,y=-98,type=benign,label=844,hr=0.00163,hazard=false
hazard = x=362,y=-87,type=benign,label=575,hr=0.17415,hazard=false
hazard = x=66,y=-278,type=benign,label=822,hr=0.03024,hazard=false
hazard = x=-141,y=-264,type=benign,label=831,hr=0.00098,hazard=false
hazard = x=263,y=-357,type=benign,label=261,hr=0.12618,hazard=false
hazard = x=-77,y=-338,type=benign,label=216,hr=0.03202,hazard=false
hazard = x=365,y=-102,type=benign,label=126,hr=0.00888,hazard=false
hazard = x=-134,y=-309,type=benign,label=949,hr=0.41785,hazard=false
hazard = x=89,y=-244,type=benign,label=254,hr=0.07655,hazard=false
hazard = x=229,y=-89,type=benign,label=142,hr=0,hazard=false
hazard = x=-94,y=-268,type=benign,label=609,hr=0.41165,hazard=false
hazard = x=173,y=-332,type=benign,label=427,hr=0.13665,hazard=false
hazard = x=-65,y=-356,type=benign,label=665,hr=0.09284,hazard=false
hazard = x=161,y=-81,type=benign,label=869,hr=0.00997,hazard=false
hazard = x=355,y=-131,type=benign,label=614,hr=0.00001,hazard=false
hazard = x=-111,y=-310,type=benign,label=345,hr=0.9074,hazard=false
hazard = x=-149,y=-164,type=benign,label=519,hr=0.072,hazard=false
hazard = x=212,y=-88,type=benign,label=553,hr=0.00117,hazard=false
hazard = x=387,y=-289,type=benign,label=463,hr=0.03992,hazard=false
hazard = x=349,y=-148,type=benign,label=343,hr=0.00266,hazard=false
hazard = x=352,y=-364,type=benign,label=747,hr=0.04248,hazard=false
hazard = x=125,y=-303,type=benign,label=597,hr=0.19206,hazard=false
hazard = x=-104,y=-253,type=benign,label=353,hr=0.00436,hazard=false
hazard = x=262,y=-263,type=benign,label=644,hr=0.03324,hazard=false
hazard = x=138,y=-315,type=benign,label=832,hr=0.03202,hazard=false
hazard = x=287,y=-389,type=benign,label=592,hr=0.00017,hazard=false
hazard = x=105,y=-271,type=benign,label=701,hr=0.01874,hazard=false
hazard = x=28,y=-284,type=benign,label=173,hr=0.00516,hazard=false
hazard = x=32,y=-368,type=benign,label=700,hr=0.61344,hazard=false
hazard = x=124,y=-88,type=benign,label=656,hr=0.07144,hazard=false
hazard = x=-131,y=-102,type=benign,label=643,hr=0.03112,hazard=false
hazard = x=307,y=-372,type=benign,label=326,hr=0.3215,hazard=false
hazard = x=61,y=-297,type=benign,label=908,hr=0.07425,hazard=false
hazard = x=92,y=-125,type=benign,label=955,hr=0.03817,hazard=false
hazard = x=71,y=-300,type=benign,label=840,hr=0.07713,hazard=false
hazard = x=256,y=-263,type=benign,label=981,hr=0.00464,hazard=false
hazard = x=-138,y=-165,type=benign,label=830,hr=0.07655,hazard=false
hazard = x=-135,y=-92,type=benign,label=778,hr=0.3552,hazard=false
hazard = x=12,y=-98,type=benign,label=590,hr=0.02771,hazard=false
hazard = x=305,y=-383,type=benign,label=604,hr=0.47458,hazard=false
hazard = x=253,y=-76,type=benign,label=398,hr=0.22799,hazard=false
hazard = x=347,y=-203,type=benign,label=206,hr=0.01895,hazard=false
hazard = x=261,y=-170,type=benign,label=537,hr=0.06818,hazard=false
hazard = x=39,y=-140,type=benign,label=130,hr=0,hazard=false
hazard = x=157,y=-160,type=benign,label=834,hr=0.08694,hazard=false
hazard = x=126,y=-390,type=benign,label=765,hr=0.06818,hazard=false
hazard = x=280,y=-81,type=benign,label=755,hr=0.15954,hazard=false
hazard = x=-62,y=-342,type=benign,label=896,hr=0.50742,hazard=false
hazard = x=-106,y=-302,type=benign,label=307,hr=0.25269,hazard=false
hazard = x=-20,y=-215,type=benign,label=263,hr=0.17094,hazard=false
hazard = x=134,y=-225,type=benign,label=922,hr=0.54194,hazard=false
hazard = x=177,y=-268,type=benign,label=802,hr=0.03171,hazard=false
hazard = x=153,y=-222,type=benign,label=408,hr=0.00214,hazard=false
hazard = x=245,y=-146,type=benign,label=918,hr=0.18519,hazard=false
hazard = x=316,y=-229,type=benign,label=383,hr=0.41994,hazard=false
hazard = x=67,y=-222,type=benign,label=160,hr=0.08131,hazard=false
hazard = x=356,y=-175,type=benign,label=635,hr=0.24985,hazard=false
hazard = x=73,y=-94,type=benign,label=941,hr=0.50742,hazard=false
hazard = x=-51,y=-336,type=benign,label=165,hr=0.4096,hazard=false
hazard = x=389,y=-90,type=benign,label=684,hr=0.35889,hazard=false
hazard = x=171,y=-130,type=benign,label=748,hr=0,hazard=false
hazard = x=-105,y=-319,type=benign,label=111,hr=0.1909,hazard=false
hazard = x=59,y=-138,type=benign,label=685,hr=0.09284,hazard=false
hazard = x=-46,y=-369,type=benign,label=120,hr=0.52941,hazard=false
hazard = x=183,y=-123,type=benign,label=625,hr=0.0058,hazard=false
hazard = x=-115,y=-381,type=benign,label=556,hr=0.00865,hazard=false
hazard = x=195,y=-353,type=benign,label=431,hr=0.02638,hazard=false
hazard = x=-36,y=-349,type=benign,label=838,hr=0.01157,hazard=false
hazard = x=-16,y=-276,type=benign,label=785,hr=0.51955,hazard=false
hazard = x=168,y=-188,type=benign,label=172,hr=0.73527,hazard=false
hazard = x=332,y=-107,type=benign,label=444,hr=0.00184,hazard=false
hazard = x=39,y=-334,type=benign,label=252,hr=0.00064,hazard=false
hazard = x=373,y=-278,type=benign,label=188,hr=0.00001,hazard=false
hazard = x=356,y=-256,type=benign,label=418,hr=0.02826,hazard=false
hazard = x=49,y=-180,type=benign,label=894,hr=0.49787,hazard=false
hazard = x=135,y=-118,type=benign,label=761,hr=0.44554,hazard=false
hazard = x=-102,y=-265,type=benign,label=686,hr=0.0129,hazard=false
hazard = x=40,y=-377,type=benign,label=107,hr=0.0008,hazard=false
hazard = x=-34,y=-301,type=benign,label=650,hr=0.22017,hazard=false
hazard = x=131,y=-222,type=benign,label=560,hr=0.00004,hazard=false
hazard = x=260,y=-400,type=benign,label=138,hr=0.00157,hazard=false
hazard = x=11,y=-138,type=benign,label=114,hr=0.04064,hazard=false
hazard = x=163,y=-394,type=benign,label=319,hr=0.32321,hazard=false
hazard = x=-146,y=-379,type=benign,label=430,hr=0.00924,hazard=false
hazard = x=297,y=-395,type=benign,label=285,hr=0.6918,hazard=false
hazard = x=-134,y=-371,type=benign,label=619,hr=0.76427,hazard=false
hazard = x=153,y=-213,type=benign,label=939,hr=0.6561,hazard=false
hazard = x=296,y=-367,type=benign,label=545,hr=0.27023,hazard=false
hazard = x=348,y=-166,type=benign,label=329,hr=0.17961,hazard=false
hazard = x=336,y=-83,type=benign,label=574,hr=0.78075,hazard=false
hazard = x=-9,y=-301,type=benign,label=594,hr=0.10482,hazard=false
hazard = x=-60,y=-231,type=benign,label=663,hr=0.07144,hazard=false
hazard = x=316,y=-161,type=benign,label=423,hr=0.00049,hazard=false
hazard = x=391,y=-93,type=benign,label=829,hr=0.00202,hazard=false
hazard = x=-32,y=-203,type=benign,label=484,hr=0.0027,hazard=false
hazard = x=258,y=-379,type=benign,label=514,hr=0.13221,hazard=false
hazard = x=136,y=-220,type=benign,label=298,hr=0.39745,hazard=false
hazard = x=293,y=-100,type=benign,label=360,hr=0.00275,hazard=false
hazard = x=-110,y=-149,type=benign,label=323,hr=0.00061,hazard=false
hazard = x=217,y=-216,type=benign,label=877,hr=0.06452,hazard=false
hazard = x=61,y=-191,type=benign,label=357,hr=0.02085,hazard=false
hazard = x=-135,y=-190,type=benign,label=328,hr=0.05397,hazard=false
hazard = x=389,y=-159,type=benign,label=645,hr=0.70709,hazard=false
hazard = x=227,y=-109,type=benign,label=661,hr=0.34249,hazard=false
hazard = x=-43,y=-334,type=benign,label=140,hr=0.65029,hazard=false
hazard = x=154,y=-187,type=benign,label=611,hr=0.00058,hazard=false
hazard = x=399,y=-127,type=benign,label=944,hr=0.06351,hazard=false
hazard = x=342,y=-206,type=benign,label=810,hr=0.47458,hazard=false
hazard = x=202,y=-374,type=benign,label=413,hr=0.68877,hazard=false
hazard = x=56,y=-343,type=benign,label=984,hr=0.1078,hazard=false
hazard = x=334,y=-266,type=benign,label=680,hr=0.00067,hazard=false
hazard = x=-3,y=-218,type=benign,label=816,hr=0.08758,hazard=false
hazard = x=179,y=-167,type=benign,label=825,hr=0.0009,hazard=false
hazard = x=214,y=-319,type=benign,label=355,hr=0.11316,hazard=false
hazard = x=198,y=-139,type=benign,label=193,hr=0.14399,hazard=false
hazard = x=-2,y=-154,type=benign,label=555,hr=0.00052,hazard=false
hazard = x=47,y=-390,type=benign,label=288,hr=0.82484,hazard=false
hazard = x=119,y=-361,type=benign,label=654,hr=0.08131,hazard=false
hazard = x=134,y=-359,type=benign,label=482,hr=0.0021,hazard=false
hazard = x=-136,y=-386,type=benign,label=461,hr=0.10931,hazard=false
hazard = x=56,y=-338,type=benign,label=453,hr=0.3215,hazard=false
hazard = x=274,y=-290,type=benign,label=411,hr=0.00832,hazard=false
hazard = x=-127,y=-255,type=benign,label=757,hr=0,hazard=false
hazard = x=143,y=-122,type=benign,label=202,hr=0.05579,hazard=false
hazard = x=238,y=-315,type=benign,label=324,hr=0.63308,hazard=false
hazard = x=67,y=-358,type=benign,label=615,hr=0.18182,hazard=false
hazard = x=374,y=-222,type=benign,label=508,hr=0.29664,hazard=false
hazard = x=-20,y=-180,type=benign,label=711,hr=0,hazard=false
hazard = x=382,y=-132,type=benign,label=245,hr=0.00632,hazard=false
hazard = x=293,y=-213,type=benign,label=687,hr=0.00051,hazard=false
hazard = x=-109,y=-173,type=benign,label=681,hr=0.6561,hazard=false
hazard = x=229,y=-114,type=benign,label=410,hr=0.49315,hazard=false
hazard = x=22,y=-86,type=benign,label=232,hr=0.54956,hazard=false
hazard = x=-36,y=-242,type=benign,label=309,hr=0.4326,hazard=false
hazard = x=-44,y=-128,type=benign,label=828,hr=0.0017,hazard=false
hazard = x=288,y=-385,type=benign,label=177,hr=0.15853,hazard=false
hazard = x=85,y=-154,type=benign,label=187,hr=0.02243,hazard=false
hazard = x=139,y=-146,type=benign,label=708,hr=0.27174,hazard=false
hazard = x=-102,y=-375,type=benign,label=253,hr=0.00056,hazard=false
hazard = x=66,y=-83,type=benign,label=480,hr=0.58887,hazard=false
hazard = x=89,y=-228,type=benign,label=714,hr=0.00888,hazard=false
hazard = x=-8,y=-331,type=benign,label=529,hr=0.17415,hazard=false
hazard = x=361,y=-331,type=benign,label=365,hr=0.00912,hazard=false
hazard = x=42,y=-123,type=benign,label=970,hr=0.00007,hazard=false
hazard = x=-61,y=-129,type=benign,label=402,hr=0.09976,hazard=false
hazard = x=153,y=-232,type=benign,label=182,hr=0.0066,hazard=false
hazard = x=340,y=-379,type=benign,label=233,hr=0.04286,hazard=false
hazard = x=114,y=-334,type=benign,label=256,hr=0.92237,hazard=false
hazard = x=-142,y=-112,type=benign,label=624,hr=0.00001,hazard=false
hazard = x=96,y=-250,type=benign,label=974,hr=0.02085,hazard=false
hazard = x=114,y=-390,type=benign,label=373,hr=0.00033,hazard=false
hazard = x=365,y=-245,type=benign,label=219,hr=0.07831,hazard=false
hazard = x=32,y=-200,type=benign,label=788,hr=0.00027,hazard=false
hazard = x=29,y=-196,type=benign,label=227,hr=0.03141,hazard=false
hazard = x=-67,y=-238,type=benign,label=492,hr=0.00243,hazard=false
hazard = x=281,y=-185,type=benign,label=388,hr=0.01275,hazard=false
hazard = x=-146,y=-393,type=benign,label=646,hr=0.16882,hazard=false
hazard = x=3,y=-276,type=benign,label=562,hr=0.18071,hazard=false
hazard = x=273,y=-139,type=benign,label=512,hr=0.00115,hazard=false
hazard = x=-30,y=-243,type=benign,label=454,hr=0.5729,hazard=false
hazard = x=-19,y=-308,type=benign,label=255,hr=0.00003,hazard=false
hazard = x=383,y=-190,type=benign,label=565,hr=0.42413,hazard=false
hazard = x=150,y=-132,type=benign,label=465,hr=0.00252,hazard=false
hazard = x=-18,y=-233,type=benign,label=655,hr=0.00247,hazard=false
hazard = x=304,y=-299,type=benign,label=134,hr=0.00005,hazard=false
hazard = x=70,y=-212,type=benign,label=554,hr=0.14681,hazard=false
hazard = x=324,y=-398,type=benign,label=462,hr=0.66489,hazard=false
hazard = x=350,y=-357,type=benign,label=880,hr=0.00429,hazard=false
hazard = x=150,y=-191,type=benign,label=247,hr=0.65029,hazard=false
hazard = x=339,y=-327,type=benign,label=489,hr=0.03714,hazard=false
hazard = x=266,y=-293,type=benign,label=675,hr=0,hazard=false
hazard = x=187,y=-272,type=benign,label=658,hr=0.03112,hazard=false
hazard = x=11,y=-254,type=benign,label=792,hr=0.67974,hazard=false
hazard = x=80,y=-166,type=benign,label=117,hr=0.05579,hazard=false
hazard = x=166,y=-309,type=benign,label=814,hr=0.01417,hazard=false
hazard = x=78,y=-165,type=benign,label=801,hr=0.01518,hazard=false
hazard = x=331,y=-211,type=benign,label=677,hr=0.00084,hazard=false
hazard = x=-132,y=-93,type=benign,label=672,hr=0.28243,hazard=false
hazard = x=-27,y=-195,type=benign,label=361,hr=0.0241,hazard=false
hazard = x=80,y=-365,type=benign,label=722,hr=0.00226,hazard=false
hazard = x=155,y=-303,type=benign,label=171,hr=0.07144,hazard=false
hazard = x=6,y=-194,type=benign,label=490,hr=0.02313,hazard=false
hazard = x=269,y=-256,type=benign,label=820,hr=0.81451,hazard=false
hazard = x=-62,y=-365,type=benign,label=386,hr=0.0058,hazard=false
hazard = x=120,y=-398,type=benign,label=404,hr=0.04137,hazard=false
hazard = x=61,y=-290,type=benign,label=279,hr=0.014,hazard=false
hazard = x=321,y=-102,type=benign,label=929,hr=0.33715,hazard=false
hazard = x=-63,y=-127,type=benign,label=443,hr=0.00037,hazard=false
hazard = x=-16,y=-132,type=benign,label=284,hr=0.01172,hazard=false
hazard = x=63,y=-221,type=benign,label=664,hr=0.05625,hazard=false
